"EFF_DATE","DP_NAME","ARTCC","DP_COMPUTER_CODE","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2026/09/03","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA","1","","10","FANZI","K5","WP   ","WENUL","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/09/03","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA","1","","20","WENUL","K5","WP   ","KAJJY","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/09/03","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA","1","","30","KAJJY","K5","WP   ","LVENS","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
