"EFF_DATE","FACILITY","FAC_NAME","FACILITY_TYPE","ARTCC_OR_FSS_ID","CPDLC","TOWER_HRS","SERVICED_FACILITY","SERVICED_FAC_NAME","SERVICED_SITE_TYPE","LAT_DECIMAL","LONG_DECIMAL","SERVICED_CITY","SERVICED_STATE","SERVICED_COUNTRY","TOWER_OR_COMM_CALL","PRIMARY_APPROACH_RADIO_CALL","FREQ","SECTORIZATION","FREQ_USE","REMARK"
"2026/09/03","00A","TOTAL RF","NON-ATCT","","","","00A","TOTAL RF","HELIPORT","40.07083333","-74.93361111","BENSALEM","PA","US","","","122.9","","CTAF",""
"2026/09/03","00C","ANIMAS AIR PARK","NON-ATCT","","","","00C","ANIMAS AIR PARK","AIRPORT","37.20317833","-107.86919527","DURANGO","CO","US","","","122.8","","CTAF",""
"2026/09/03","00C","ANIMAS AIR PARK","NON-ATCT","","","","00C","ANIMAS AIR PARK","AIRPORT","37.20317833","-107.86919527","DURANGO","CO","US","","","122.8","","UNICOM",""
