"EFF_DATE","LOCATION_ID","LOCATION_NAME","COMPUTER_ID","ICAO_ID","LOCATION_TYPE","CITY","STATE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","CROSS_REF"
"2026/09/03","FIMM","MAURITIUS FIR","PLS","FIMM","ARTCC","MAURITIUS","","MU","20","26","0","S","-20.43333333","57","41","0","E","57.68333333",""
"2026/09/03","NZZO","AUCKLAND OCEANIC FIR","ZZO","NZZO","ARTCC","AUCKLAND","","NZ","37","0","29","S","-37.00805555","174","47","30","E","174.79166666",""
"2026/09/03","SBAO","ATLANTICO FIR","ASI","SBAO","ARTCC","ATLANTICO","","BR","15","52","0","S","-15.86666666","47","55","0","W","-47.91666666",""
