"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PAVEMENT_CLASSIFICATION","PCN_PCR_NUMBER","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW"
"2026/09/03","00103.","A","AL","0J0","ABBEVILLE","US","18/36","5000","75","ASPH","FAIR","AFSC","","","","","","","MED","3RD PARTY SURVEY","2025/06/17","","","",""
"2026/09/03","00106.","A","AL","2A8","ADDISON","US","05/23","2644","112","TURF","GOOD","NONE","","","","","","","","OWNER","2011/08/08","","","",""
"2026/09/03","00108.","A","AL","AL03","AKRON","US","01/19","2002","60","TURF","GOOD","NONE","","","","","","","","","","","","",""
