"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","CHANNEL"
"2026/09/03","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","OPERATIONAL IFR","2022/07/28","32","37","22.81","N","32.62300277","85","26","8.88","W","-85.4358","F","779","38X"
"2026/09/03","00157.1","A","AL","EKY","BESSEMER","US","05","EKY","LD","OPERATIONAL IFR","1996/06/20","33","19","9.1449","N","33.31920691","86","54","56.4838","W","-86.91568994","Z","717.8","54Y"
"2026/09/03","00164.","A","AL","BHM","BIRMINGHAM","US","18","BXO","LE","OPERATIONAL RESTRICTED","2019/08/07","33","33","2.847","N","33.55079083","86","44","49.9257","W","-86.74720158","T","645.2","50X"
