"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","STATE_NAME","REGION_CODE","RWY_LEN","RWY_WIDTH","CATEGORY","OWNER","OPERATOR","APCH_BEAR","MAG_VAR","MAG_VAR_HEMIS","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","LOC_FREQ","BK_COURSE_STATUS_CODE"
"2026/09/03","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","ALABAMA","ASO","7002","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","52.45","4","W","OPERATIONAL RESTRICTED","2017/07/18","33","35","47.2749","N","33.59646525","85","50","48.9232","W","-85.84692311","T","606.3","111.5",""
"2026/09/03","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","ALABAMA","ASO","5264","100","I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","5.04","4","W","OPERATIONAL IFR","1983/04/28","32","37","22.77","N","32.62299166","85","26","9.52","W","-85.43597777","F","779","110.1",""
"2026/09/03","00157.1","A","AL","EKY","BESSEMER","US","05","EKY","LD","ALABAMA","ASO","6007","100","I","F-FAA","F-FAA","52.81","3","W","OPERATIONAL IFR","1996/06/20","33","19","10.9555","N","33.31970986","86","54","58.6472","W","-86.91629088","Z","717.7","111.75",""
