"EFF_DATE","COMM_LOC_ID","COMM_TYPE","NAV_ID","NAV_TYPE","CITY","STATE_CODE","REGION_CODE","COUNTRY_CODE","COMM_OUTLET_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FACILITY_ID","FACILITY_NAME","ALT_FSS_ID","ALT_FSS_NAME","OPR_HRS","COMM_STATUS_CODE","COMM_STATUS_DATE","REMARK"
"2026/09/03","1CC","RCO","","","THOMPSON PASS","AK","AAL","US","THOMPSON PASS","61","2","19.1","N","61.03863888","145","58","56.3","W","-145.98230555","JNU","JUNEAU","","","24","A","1990/01/23",""
"2026/09/03","1CE","RCO","","","OLYMPIA","WA","ANM","US","BUCKHORN MTN","46","32","29.4","N","46.5415","123","1","16.5","W","-123.02125","SEA","SEATTLE","","","24","A","1985/03/27",""
"2026/09/03","1CG","RCO","","","YAKUTAT","AK","AAL","US","ALSEK","59","19","33","N","59.32583333","138","53","6.2","W","-138.88505555","JNU","JUNEAU","","","24","A","1979/09/12",""
