"EFF_DATE","ORIGIN_ID","ORIGIN_CITY","ORIGIN_STATE_CODE","ORIGIN_COUNTRY_CODE","DSTN_ID","DSTN_CITY","DSTN_STATE_CODE","DSTN_COUNTRY_CODE","PFR_TYPE_CODE","ROUTE_NO","SPECIAL_AREA_DESCRIP","ALT_DESCRIP","AIRCRAFT","HOURS","ROUTE_DIR_DESCRIP","DESIGNATOR","NAR_TYPE","INLAND_FAC_FIX","COASTAL_FIX","DESTINATION","ROUTE_STRING"
"2026/09/03","ABE","ALLENTOWN","PA","US","ACY","ATLANTIC CITY","NJ","US","TEC","1","","5000","","","","","","","","","FJC ARD CYN"
"2026/09/03","ABE","ALLENTOWN","PA","US","ALB","ALBANY","NY","US","TEC","1","TO ALB,SCH","7000","","","","","","","","","FJC LAAYK"
"2026/09/03","ABE","ALLENTOWN","PA","US","AVP","WILKES-BARRE/SCRANTON","PA","US","TEC","2","","7000","","","","","","","","","FJC LVZ"
