"EFF_DATE","FSS_ID","NAME","UPDATE_DATE","FSS_FAC_TYPE","VOICE_CALL","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","OPR_HOURS","FAC_STATUS","ALTERNATE_FSS","WEA_RADAR_FLAG","PHONE_NO","TOLL_FREE_NO"
"2026/09/03","ABQ","ALBUQUERQUE","2024/11/27","RADIO","ALBUQUERQUE","ALBUQUERQUE","NM","US","35","2","20.1536","N","35.03893155","106","36","29.7438","W","-106.60826216","24","A","","N","","1-800-WX-BRIEF"
"2026/09/03","ANB","ANNISTON","2025/05/13","RADIO","ANNISTON","ANNISTON","AL","US","31","16","32.79","N","31.275775","85","42","48.06","W","-85.71335","24","A","","N","","1-800-WX-BRIEF"
"2026/09/03","AND","ANDERSON","2024/02/07","RADIO","ANDERSON","ANDERSON","SC","US","34","29","40.5","N","34.49458333","82","42","33.8","W","-82.70938888","24","A","","N","","1-800-WX-BRIEF"
