"EFF_DATE","PJA_ID","NAV_ID","NAV_TYPE","RADIAL","DISTANCE","NAVAID_NAME","STATE_CODE","CITY","LATITUDE","LAT_DECIMAL","LONGITUDE","LONG_DECIMAL","ARPT_ID","SITE_NO","SITE_TYPE_CODE","DROP_ZONE_NAME","MAX_ALTITUDE","MAX_ALTITUDE_TYPE_CODE","PJA_RADIUS","CHART_REQUEST_FLAG","PUBLISH_CRITERIA","DESCRIPTION","TIME_OF_USE","FSS_ID","FSS_NAME","PJA_USE","VOLUME","PJA_USER","REMARK"
"2026/09/03","PAK001","MCG","VORTAC","341","0","MC GRATH","AK","MCGRATH","62-57-03.7450N","62.95104027","155-36-41.0500W","-155.61140277","16Z","50467.1","C","","5000","MSL","","N","Y",""," JUN- SEP;IRREGULAR HOURS","MCG","MCGRATH","","","","JUMPING OVER MCGRATH VORTAC"
"2026/09/03","PAK002","FAI","VORTAC","67","27","FAIRBANKS","AK","FAIRBANKS","64-45-26.2123N","64.75728119","146-57-55.7727W","-146.96549241","","","","HUSKY DROP ZONE","3500","MSL","","Y","Y","","CONTINUOUS","FAI","FAIRBANKS","MILITARY","","ACTIVE ARMY AND USAF",""
"2026/09/03","PAK004","FAI","VORTAC","42","10","FAIRBANKS","AK","FAIRBANKS","64-51-23.1296N","64.85642488","147-38-42.1526W","-147.64504238","","","","BIRCH HILL","6000","MSL","3","N","Y","","SR-SS 1 APRIL 31 OCT","FAI","FAIRBANKS","","","",""
