"EFF_DATE","REC_ID","LOCATION_ID","LOCATION_NAME","ALTITUDE","TYPE","POINT_SEQ","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","BNDRY_PT_DESCRIP","NAS_DESCRIP_FLAG"
"2026/09/03","ZAB*H*53855","ZAB","ALBUQUERQUE","HIGH","ARTCC","10","35","46","0","N","35.76666666","111","50","30","W","-111.84166666","/COMMON ZAB-ZDV-ZLA/TO",""
"2026/09/03","ZAB*H*53866","ZAB","ALBUQUERQUE","HIGH","ARTCC","20","35","42","0","N","35.7","110","14","0","W","-110.23333333","/COMMON ZAB-ZDV/ TO",""
"2026/09/03","ZAB*H*53877","ZAB","ALBUQUERQUE","HIGH","ARTCC","30","36","2","0","N","36.03333333","108","13","0","W","-108.21666666","/COMMON ZAB-ZDV/ TO",""
