"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","NAV_STATUS","NAME","STATE_NAME","REGION_CODE","COUNTRY_NAME","FAN_MARKER","OWNER","OPERATOR","NAS_USE_FLAG","PUBLIC_USE_FLAG","NDB_CLASS_CODE","OPER_HOURS","HIGH_ALT_ARTCC_ID","HIGH_ARTCC_NAME","LOW_ALT_ARTCC_ID","LOW_ARTCC_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_ACCURACY_CODE","TACAN_DME_STATUS","TACAN_DME_LAT_DEG","TACAN_DME_LAT_MIN","TACAN_DME_LAT_SEC","TACAN_DME_LAT_HEMIS","TACAN_DME_LAT_DECIMAL","TACAN_DME_LONG_DEG","TACAN_DME_LONG_MIN","TACAN_DME_LONG_SEC","TACAN_DME_LONG_HEMIS","TACAN_DME_LONG_DECIMAL","ELEV","MAG_VARN","MAG_VARN_HEMIS","MAG_VARN_YEAR","SIMUL_VOICE_FLAG","PWR_OUTPUT","AUTO_VOICE_ID_FLAG","MNT_CAT_CODE","VOICE_CALL","CHAN","FREQ","MKR_IDENT","MKR_SHAPE","MKR_BRG","ALT_CODE","DME_SSV","LOW_NAV_ON_HIGH_CHART_FLAG","Z_MKR_FLAG","FSS_ID","FSS_NAME","FSS_HOURS","NOTAM_ID","QUAD_IDENT","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","RESTRICTION_FLAG","HIWAS_FLAG"
"2026/09/03","AA","NDB","ND","FARGO","US","OPERATIONAL IFR","KENIE","NORTH DAKOTA","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","HW/LOM","24","ZMP","MINNEAPOLIS","ZMP","MINNEAPOLIS","47","0","32.5878","N","47.00905216","96","48","54.6606","W","-96.8151835","6","","","","","","","","","","","","890.6","4","E","2005","N","100","N","1","NONE","","365","","","","","","","N","GFK","GRAND FORKS","24","FAR","","N","N","N","",""
"2026/09/03","AA","NDB","GA","THOMSON","US","OPERATIONAL RESTRICTED","CEDAR","GEORGIA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","Y","Y","MHW","24","ZTL","ATLANTA","ZTL","ATLANTA","33","31","59.82","N","33.53328333","82","36","51.73","W","-82.61436944","","","","","","","","","","","","","515.2","4","W","1995","N","25","N","3","NONE","","341","","","","","","","","MCN","MACON","24","MCN","","N","N","N","",""
"2026/09/03","AAA","NDB","IL","LINCOLN","US","OPERATIONAL IFR","ABRAHAM","ILLINOIS","AGL","UNITED STATES","","O-COUNTY","O-COUNTY","Y","Y","MHW","24","ZAU","CHICAGO","ZAU","CHICAGO","40","9","36.42","N","40.16011666","89","20","16.8562","W","-89.33801561","5","","","","","","","","","","","","590.8","0","E","1990","N","25","N","1","NONE","","329","","","","","","","","STL","SAINT LOUIS","24","AAA","","N","N","N","",""
