"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","TAB_NAME","ILS_COMP_TYPE_CODE","REF_COL_NAME","REF_COL_SEQ_NO","REMARK"
"2026/09/03","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","ILS","","GENERAL_REMARK","2","ILS CLASSIFICATION CODE IA"
"2026/09/03","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","ILS","","GENERAL_REMARK","3","LOC UNUSBL WI 0.6 NM; BYD 16 DEGS RIGHT OF CRS."
"2026/09/03","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IB. "
