"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2026/09/03","AALAN.BLAID2","ZLA","BODY","AALAN-BLAID","1","","10","AALAN","K2","RP   ","BLAID","LAS"
"2026/09/03","AALAN.BLAID2","ZLA","BODY","AALAN-BLAID","1","","20","BLAID","K2","RP   ","","LAS"
"2026/09/03","AALAN.BLAID2","ZLA","TRANSITION","BRYCE CANYON TRANSITION","1","BCE.BLAID2","10","BCE","","VORTAC","HOLDM",""
