"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","G_S_TYPE_CODE","G_S_ANGLE","G_S_FREQ"
"2026/09/03","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","OPERATIONAL IFR","1991/07/25","33","35","1.8307","N","33.58384186","85","51","55.9432","W","-85.86553977","T","590.5","GS","3","332.9"
"2026/09/03","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","OPERATIONAL IFR","2007/05/21","32","36","27.9","N","32.60775","85","26","7.66","W","-85.43546111","F","736","GS","3","334.4"
"2026/09/03","00157.1","A","AL","EKY","BESSEMER","US","05","EKY","LD","OPERATIONAL RESTRICTED","2017/08/10","33","18","32.526","N","33.309035","86","55","50.5481","W","-86.9307078","Z","696.5","GS","3","333.35"
