"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","ROUTE_PT_SEQ","ROUTE_PT_ID","NEXT_ROUTE_PT_ID","SEGMENT_TEXT","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","NAV_ID","NAVAID_BEARING","NAVAID_DIST"
"2026/09/03","IR","002","ZTL","10","A","B","(1) CROSS AT 60 MSL TO","36","4","0","N","36.06666666","84","39","0","W","-84.65","VXV","288","38"
"2026/09/03","IR","002","ZTL","20","B","C","(1) 05 AGL B 60 MSL TO","36","30","0","N","36.5","84","20","0","W","-84.33333333","VXV","332","42"
"2026/09/03","IR","002","ZTL","30","C","D","(1) 01 AGL B 60 MSL TO","36","28","0","N","36.46666666","83","45","0","W","-83.75","VXV","15","34"
