"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","ILS_COMP_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","MKR_FAC_TYPE_CODE","MARKER_ID_BEACON","COMPASS_LOCATOR_NAME","FREQ","NAV_ID","NAV_TYPE","LOW_POWERED_NDB_STATUS"
"2026/09/03","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","OM","OPERATIONAL IFR","2011/08/30","33","32","3.6507","N","33.53434741","85","55","50.8473","W","-85.93079091","T","589.9","MR","AN","BOGGA","211","AN","NDB",""
"2026/09/03","00164.","A","AL","BHM","BIRMINGHAM","US","06","BHM","LS","IM","OPERATIONAL IFR","1981/03/02","33","33","12.2557","N","33.55340436","86","46","26.2265","W","-86.7739518","T","593.1","M","","","","","",""
"2026/09/03","00164.","A","AL","BHM","BIRMINGHAM","US","06","BHM","LS","OM","OPERATIONAL IFR","1980/12/24","33","30","41.396","N","33.51149888","86","50","44.2834","W","-86.84563427","T","569","MR","BH","MCDEN","224","BH","NDB",""
