"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","LEGACY_ELEMENT_NUMBER","TAB_NAME","REF_COL_NAME","REMARK_NO","REMARK"
"2026/09/03","24226.1","A","NON-ATCT","TX","00R","LIVINGSTON","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","APCH/DEP CTL SVC PRVDD BY HOUSTON ARTCC (ZHU) ON FREQS 125.175/285.575 (LUFKIN RCAG)."
"2026/09/03","12385.2","A","NON-ATCT","MT","00U","HARDIN","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","APCH/DEP CTL SVC PRVDD BY SALT LAKE ARTCC (ZLC) ON 132.425/317.45 (MILES CITY RCAG)."
"2026/09/03","00233.","A","NON-ATCT","AL","02A","CLANTON","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","APCH/DEP SVC PRVDD BY ATLANTA ARTCC ON FREQS 132.25/263.025 (UNIONTOWN RCAG) WHEN MONTGOMERY APCH CTL CLSD."
